Key,en-US,uk-UA,ru-UA,Description
aruba_country,Aruba,Аруба,Аруба,Country name for Aruba
afghanistan_country,Afghanistan,Афганістан,Афганистан,Country name for Afghanistan
angola_country,Angola,Ангола,Ангола,Country name for Angola
anguilla_country,Anguilla,Ангілья,Ангвилла,Country name for Anguilla
aland_islands_country,Åland Islands,Аландські острови,Аландские острова,Country name for Åland Islands
albania_country,Albania,Албанія,Албания,Country name for Albania
andorra_country,Andorra,Андорра,Андорра,Country name for Andorra
united_arab_emirates_country,United Arab Emirates,Об’єднані Арабські Емірати,Объединённые Арабские Эмираты,Country name for United Arab Emirates
argentina_country,Argentina,Аргентина,Аргентина,Country name for Argentina
armenia_country,Armenia,Вірменія,Армения,Country name for Armenia
american_samoa_country,American Samoa,Американське Самоа,Американские Самоа,Country name for American Samoa
antarctica_country,Antarctica,Антарктида,Антарктика,Country name for Antarctica
french_southern_territories_country,French Southern Territories,Французькі Південні Території,Французские южные территории,Country name for French Southern Territories
antigua_and_barbuda_country,Antigua and Barbuda,Антигуа і Барбуда,Антигуа и Барбуда,Country name for Antigua and Barbuda
australia_country,Australia,Австралія,Австралия,Country name for Australia
austria_country,Austria,Австрія,Австрия,Country name for Austria
azerbaijan_country,Azerbaijan,Азербайджан,Азербайджан,Country name for Azerbaijan
burundi_country,Burundi,Бурунді,Бурунди,Country name for Burundi
belgium_country,Belgium,Бельгія,Бельгия,Country name for Belgium
benin_country,Benin,Бенін,Бенин,Country name for Benin
bonaire_country,Bonaire,Бонайре,Бонайре,"Country name for Bonaire, Sint Eustatius and Saba"
burkina_faso_country,Burkina Faso,Буркіна-Фасо,Буркина-Фасо,Country name for Burkina Faso
bangladesh_country,Bangladesh,Бангладеш,Бангладеш,Country name for Bangladesh
bulgaria_country,Bulgaria,Болгарія,Болгария,Country name for Bulgaria
bahrain_country,Bahrain,Бахрейн,Бахрейн,Country name for Bahrain
bahamas_country,Bahamas,Багамські острови,Багамы,Country name for Bahamas
bosnia_and_herzegovina_country,Bosnia and Herzegovina,Боснія та Герцеговина,Босния и Герцеговина,Country name for Bosnia and Herzegovina
saint_barthelemy_country,Saint Barthélemy,Сен-Бартельмі,Сен-Бартельми,Country name for Saint Barthélemy
belarus_country,Belarus,Білорусь,Беларусь,Country name for Belarus
belize_country,Belize,Беліз,Белиз,Country name for Belize
bermuda_country,Bermuda,Бермуди,Бермуды,Country name for Bermuda
bolivia_country,Bolivia,Болівія,Боливия,"Country name for Bolivia, Plurinational State of"
brazil_country,Brazil,Бразилія,Бразилия,Country name for Brazil
barbados_country,Barbados,Барбадос,Барбадос,Country name for Barbados
brunei_darussalam_country,Brunei Darussalam,Бруней,Бруней Даруссалам,Country name for Brunei Darussalam
bhutan_country,Bhutan,Бутан,Бутан,Country name for Bhutan
bouvet_island_country,Bouvet Island,Острів Буве,Остров Буве,Country name for Bouvet Island
botswana_country,Botswana,Ботсвана,Ботсвана,Country name for Botswana
central_african_republic_country,Central African Republic,Центральноафриканська Республіка,Центрально-африканская республика,Country name for Central African Republic
canada_country,Canada,Канада,Канада,Country name for Canada
cocos_keeling_islands_country,Cocos (Keeling) Islands,Кокосові (Кілінг) острови,Кокосовые острова ,Country name for Cocos (Keeling) Islands
switzerland_country,Switzerland,Швейцарія,Швейцария,Country name for Switzerland
chile_country,Chile,Чилі,Чили,Country name for Chile
china_country,China,Китай,Китай,Country name for China
cote_divoire_country,Côte d'Ivoire,Кот-д'Івуар,Кот-д'Ивуар,Country name for Côte d'Ivoire
cameroon_country,Cameroon,Камерун,Камерун,Country name for Cameroon
congo_country,Congo,Конго,Демократическая Республика Конго,"Country name for Congo, The Democratic Republic of the"
congo_country,Congo,Конго,Конго,Country name for Congo
cook_islands_country,Cook Islands,Острови Кука,Острова Кука,Country name for Cook Islands
colombia_country,Colombia,Колумбія,Колумбия,Country name for Colombia
comoros_country,Comoros,Коморські острови,Коморские острова,Country name for Comoros
cabo_verde_country,Cabo Verde,Cabo Verde,Cabo Verde,Country name for Cabo Verde
costa_rica_country,Costa Rica,Коста-Рика,Коста-Рика,Country name for Costa Rica
cuba_country,Cuba,Куба,Куба,Country name for Cuba
curacao_country,Curaçao,Кюрасао,Кюрасао,Country name for Curaçao
christmas_island_country,Christmas Island,Острів Різдва,Остров Рождества,Country name for Christmas Island
cayman_islands_country,Cayman Islands,Кайманові острови,Каймановы острова,Country name for Cayman Islands
cyprus_country,Cyprus,Кіпр,Кипр,Country name for Cyprus
czechia_country,Czechia,Czechia,Czechia,Country name for Czechia
germany_country,Germany,Німеччина,Германия,Country name for Germany
djibouti_country,Djibouti,Джибуті,Джибути,Country name for Djibouti
dominica_country,Dominica,Домініка,Доминика,Country name for Dominica
denmark_country,Denmark,Данія,Дания,Country name for Denmark
dominican_republic_country,Dominican Republic,Домініканська республіка,Доминиканская республика,Country name for Dominican Republic
algeria_country,Algeria,Алжир,Алжир,Country name for Algeria
ecuador_country,Ecuador,Еквадор,Эквадор,Country name for Ecuador
